tier,product,month,engine,csv,diff
enterprise,saber,Jan,0,0,0
enterprise,saber,Feb,0,0,0
enterprise,saber,Mar,0,0,0
enterprise,saber,Apr,0,0,0
enterprise,saber,May,0,0,0
enterprise,saber,Jun,0,0,0
enterprise,saber,Jul,0,0,0
enterprise,saber,Aug,0,0,0
enterprise,saber,Sep,0,0,0
enterprise,saber,Oct,0,0,0
enterprise,saber,Nov,0,0,0
enterprise,saber,Dec,0,0,0
enterprise,ter,Jan,0,0,0
enterprise,ter,Feb,0,0,0
enterprise,ter,Mar,0,0,0
enterprise,ter,Apr,0,0,0
enterprise,ter,May,31600,0,31600
enterprise,ter,Jun,31600,0,31600
enterprise,ter,Jul,31600,0,31600
enterprise,ter,Aug,94800,0,94800
enterprise,ter,Sep,94800,0,94800
enterprise,ter,Oct,94800,0,94800
enterprise,ter,Nov,126400,0,126400
enterprise,ter,Dec,94800,0,94800
enterprise,executarNoLoyalty,Jan,0,0,0
enterprise,executarNoLoyalty,Feb,0,0,0
enterprise,executarNoLoyalty,Mar,0,0,0
enterprise,executarNoLoyalty,Apr,0,0,0
enterprise,executarNoLoyalty,May,0,0,0
enterprise,executarNoLoyalty,Jun,0,0,0
enterprise,executarNoLoyalty,Jul,0,0,0
enterprise,executarNoLoyalty,Aug,0,0,0
enterprise,executarNoLoyalty,Sep,0,0,0
enterprise,executarNoLoyalty,Oct,0,0,0
enterprise,executarNoLoyalty,Nov,0,0,0
enterprise,executarNoLoyalty,Dec,0,0,0
enterprise,executarLoyalty,Jan,0,0,0
enterprise,executarLoyalty,Feb,0,0,0
enterprise,executarLoyalty,Mar,0,0,0
enterprise,executarLoyalty,Apr,0,0,0
enterprise,executarLoyalty,May,145000,0,145000
enterprise,executarLoyalty,Jun,145000,0,145000
enterprise,executarLoyalty,Jul,145000,0,145000
enterprise,executarLoyalty,Aug,290000,0,290000
enterprise,executarLoyalty,Sep,290000,0,290000
enterprise,executarLoyalty,Oct,290000,0,290000
enterprise,executarLoyalty,Nov,435000,0,435000
enterprise,executarLoyalty,Dec,435000,0,435000
enterprise,potencializar,Jan,0,0,0
enterprise,potencializar,Feb,0,0,0
enterprise,potencializar,Mar,0,0,0
enterprise,potencializar,Apr,0,0,0
enterprise,potencializar,May,0,0,0
enterprise,potencializar,Jun,0,0,0
enterprise,potencializar,Jul,0,0,0
enterprise,potencializar,Aug,0,0,0
enterprise,potencializar,Sep,0,0,0
enterprise,potencializar,Oct,0,0,0
enterprise,potencializar,Nov,0,0,0
enterprise,potencializar,Dec,0,0,0
large,saber,Jan,0,0,0
large,saber,Feb,0,0,0
large,saber,Mar,0,0,0
large,saber,Apr,0,0,0
large,saber,May,0,0,0
large,saber,Jun,0,0,0
large,saber,Jul,0,0,0
large,saber,Aug,80000,0,80000
large,saber,Sep,80000,0,80000
large,saber,Oct,120000,0,120000
large,saber,Nov,0,0,0
large,saber,Dec,0,0,0
large,ter,Jan,0,0,0
large,ter,Feb,18000,0,18000
large,ter,Mar,18000,0,18000
large,ter,Apr,18000,0,18000
large,ter,May,54000,0,54000
large,ter,Jun,54000,0,54000
large,ter,Jul,54000,0,54000
large,ter,Aug,90000,0,90000
large,ter,Sep,90000,0,90000
large,ter,Oct,90000,0,90000
large,ter,Nov,144000,0,144000
large,ter,Dec,144000,0,144000
large,executarNoLoyalty,Jan,0,0,0
large,executarNoLoyalty,Feb,0,0,0
large,executarNoLoyalty,Mar,0,0,0
large,executarNoLoyalty,Apr,0,0,0
large,executarNoLoyalty,May,0,0,0
large,executarNoLoyalty,Jun,0,0,0
large,executarNoLoyalty,Jul,0,0,0
large,executarNoLoyalty,Aug,0,0,0
large,executarNoLoyalty,Sep,0,0,0
large,executarNoLoyalty,Oct,0,0,0
large,executarNoLoyalty,Nov,0,0,0
large,executarNoLoyalty,Dec,0,0,0
large,executarLoyalty,Jan,0,0,0
large,executarLoyalty,Feb,99000,0,99000
large,executarLoyalty,Mar,99000,0,99000
large,executarLoyalty,Apr,99000,0,99000
large,executarLoyalty,May,495000,0,495000
large,executarLoyalty,Jun,495000,0,495000
large,executarLoyalty,Jul,495000,0,495000
large,executarLoyalty,Aug,792000,0,792000
large,executarLoyalty,Sep,792000,0,792000
large,executarLoyalty,Oct,792000,0,792000
large,executarLoyalty,Nov,1188000,0,1188000
large,executarLoyalty,Dec,1188000,0,1188000
large,potencializar,Jan,0,0,0
large,potencializar,Feb,0,0,0
large,potencializar,Mar,0,0,0
large,potencializar,Apr,0,0,0
large,potencializar,May,0,0,0
large,potencializar,Jun,0,0,0
large,potencializar,Jul,0,0,0
large,potencializar,Aug,0,0,0
large,potencializar,Sep,0,0,0
large,potencializar,Oct,0,0,0
large,potencializar,Nov,0,0,0
large,potencializar,Dec,0,0,0
medium,saber,Jan,0,0,0
medium,saber,Feb,20000,1580000,-1560000
medium,saber,Mar,40000,1126000,-1086000
medium,saber,Apr,40000,732000,-692000
medium,saber,May,40000,496000,-456000
medium,saber,Jun,40000,1226000,-1186000
medium,saber,Jul,160000,340000,-180000
medium,saber,Aug,240000,248000,-8000
medium,saber,Sep,240000,971000,-731000
medium,saber,Oct,400000,0,400000
medium,saber,Nov,300000,0,300000
medium,saber,Dec,300000,775000,-475000
medium,ter,Jan,0,0,0
medium,ter,Feb,120000,1142000,-1022000
medium,ter,Mar,210000,680000,-470000
medium,ter,Apr,255000,528000,-273000
medium,ter,May,315000,364000,-49000
medium,ter,Jun,360000,554000,-194000
medium,ter,Jul,360000,246000,114000
medium,ter,Aug,375000,180000,195000
medium,ter,Sep,390000,364000,26000
medium,ter,Oct,390000,0,390000
medium,ter,Nov,375000,0,375000
medium,ter,Dec,345000,220000,125000
medium,executarNoLoyalty,Jan,0,0,0
medium,executarNoLoyalty,Feb,0,120000,-120000
medium,executarNoLoyalty,Mar,0,88000,-88000
medium,executarNoLoyalty,Apr,0,66000,-66000
medium,executarNoLoyalty,May,0,42000,-42000
medium,executarNoLoyalty,Jun,0,96000,-96000
medium,executarNoLoyalty,Jul,0,36000,-36000
medium,executarNoLoyalty,Aug,0,24000,-24000
medium,executarNoLoyalty,Sep,0,64000,-64000
medium,executarNoLoyalty,Oct,0,0,0
medium,executarNoLoyalty,Nov,0,0,0
medium,executarNoLoyalty,Dec,0,40000,-40000
medium,executarLoyalty,Jan,0,0,0
medium,executarLoyalty,Feb,490000,840000,-350000
medium,executarLoyalty,Mar,784000,492000,292000
medium,executarLoyalty,Apr,931000,378000,553000
medium,executarLoyalty,May,1127000,252000,875000
medium,executarLoyalty,Jun,1176000,540000,636000
medium,executarLoyalty,Jul,1225000,168000,1057000
medium,executarLoyalty,Aug,1323000,126000,1197000
medium,executarLoyalty,Sep,1421000,372000,1049000
medium,executarLoyalty,Oct,1421000,0,1421000
medium,executarLoyalty,Nov,1470000,0,1470000
medium,executarLoyalty,Dec,1323000,288000,1035000
medium,potencializar,Jan,0,0,0
medium,potencializar,Feb,0,0,0
medium,potencializar,Mar,0,0,0
medium,potencializar,Apr,0,0,0
medium,potencializar,May,0,0,0
medium,potencializar,Jun,0,0,0
medium,potencializar,Jul,0,0,0
medium,potencializar,Aug,0,0,0
medium,potencializar,Sep,0,0,0
medium,potencializar,Oct,0,0,0
medium,potencializar,Nov,0,0,0
medium,potencializar,Dec,0,0,0
small,saber,Jan,0,0,0
small,saber,Feb,200000,0,200000
small,saber,Mar,200000,0,200000
small,saber,Apr,240000,0,240000
small,saber,May,390000,0,390000
small,saber,Jun,420000,0,420000
small,saber,Jul,480000,0,480000
small,saber,Aug,640000,0,640000
small,saber,Sep,640000,0,640000
small,saber,Oct,750000,0,750000
small,saber,Nov,800000,0,800000
small,saber,Dec,700000,0,700000
small,ter,Jan,0,0,0
small,ter,Feb,471500,0,471500
small,ter,Mar,460000,0,460000
small,ter,Apr,414000,0,414000
small,ter,May,621000,0,621000
small,ter,Jun,644000,0,644000
small,ter,Jul,575000,0,575000
small,ter,Aug,770500,0,770500
small,ter,Sep,770500,0,770500
small,ter,Oct,690000,0,690000
small,ter,Nov,747500,0,747500
small,ter,Dec,655500,0,655500
small,executarNoLoyalty,Jan,0,0,0
small,executarNoLoyalty,Feb,0,0,0
small,executarNoLoyalty,Mar,0,0,0
small,executarNoLoyalty,Apr,0,0,0
small,executarNoLoyalty,May,0,0,0
small,executarNoLoyalty,Jun,0,0,0
small,executarNoLoyalty,Jul,0,0,0
small,executarNoLoyalty,Aug,0,0,0
small,executarNoLoyalty,Sep,0,0,0
small,executarNoLoyalty,Oct,0,0,0
small,executarNoLoyalty,Nov,0,0,0
small,executarNoLoyalty,Dec,0,0,0
small,executarLoyalty,Jan,0,0,0
small,executarLoyalty,Feb,0,0,0
small,executarLoyalty,Mar,0,0,0
small,executarLoyalty,Apr,0,0,0
small,executarLoyalty,May,0,0,0
